Macro,Frente,Responsável,Projeto
Trilha do ENEM,Refinamentos Trilha do ENEM Web,FM/ RZ,Trilha do ENEM
Mobile App,Lançar nas App no Trilha do ENEM,FM,Mobile App
Mobile App,Implementar a na App módulo de fazer prova,YG/ RZ,Mobile App
Evoluções DNM 15.2,Adaptar a App do Desafio Nota Máxima,FM,Desafio Nota Máxima
Evoluções DNM 15.2,Ajustar elementos visuais para Desafio Nota Máxima,RZ,Desafio Nota Máxima
Evoluções DNM 15.2,Lançar App DNM - alinhar plano de teste e comunicação,MV/ FM,Desafio Nota Máxima
Evoluções DNM 15.2,Desenhar processo de cadastros,FM/ MV/ NC,Desafio Nota Máxima
Lançamento DNM 15.2,Insígnias DNM15.12: Insígnia Turma e Proficiência (sem pontos),MV,Desafio Nota Máxima
Lançamento DNM 15.2,Colocar ranking em produçãoe alinhar arquitetura de rankings,MV,Desafio Nota Máxima
Lançamento DNM 15.2,"Outros pontos de evolução (Esfera, Evolução Módulo Caminhos, Bloquear reabertura chamados?)",MV,Desafio Nota Máxima
Corporativo,Evoluir Site Corporativo,RZ,Corporativo
Produção Pearson,Evoluir testes/ formato de deploy e trabalho com a Pearson,MV,LMS Pearson
DNM 15.2,Relatórios de Turmas Críticas para coordenadores,MV/ CC,Desafio Nota Máxima
DNM 15.2,Tirar bônus points para listas,FM,Desafio Nota Máxima
DNM 15.2,Garantir que todas as listas retornem pelo menos 4 questões,MV,Desafio Nota Máxima
Eficiência,Questões repetidas -> minimizar casos ,MV,Desafio Nota Máxima